id,Categoria,Producto,Tipo,Procedencia,Material,Descripcion,Imagen
1,Tapas,Retrax One XR,Retráctil manual con rieles ranurados,Estados Unidos,Policarbonato,Tapa retráctil manual con rieles ranurados. Fabricado en Estados Unidos. Policarbonato.,RETRAX_ONE_XR.jpg
2,Tapas,Retrax One MX,Retráctil manual,Estados Unidos,Policarbonato,Tapa retráctil manual. Fabricado en Estados Unidos. Policarbonato.,RETRAX_ONE_MX.jpg
3,Tapas,Lona Rígida Keko,Retráctil eléctrico/manual,Brasil,Policarbonato,Tapa retráctil eléctrico - manual. Fabricado en Brasil. Policarbonato.,LONA_RIGIDA_KEKO.jpeg
4,Tapas,BULX15 2.0 Power,Retráctil eléctrica,China,Aluminio,Tapa retráctil eléctrica. Fabricado en China. Aluminio.,BULX15_2.0_POWER.jpeg
5,Tapas,BULX15 2.0,Retráctil manual,China,Aluminio,Tapa retráctil manual. Fabricado en China. Aluminio.,BULX15_2.0.jpeg
6,Tapas,BULX20,Enrollable dura,China,Paneles de aluminio,Tapa enrollable dura. Fabricado en China. Paneles de aluminio.,BULX20.jpeg
7,Tapas,BULX5 Slim,Plegable dura,Estados Unidos,Aluminio alta resistencia,Tapa plegable dura. Procedencia: Estados Unidos. Aluminio de alta resistencia.,BULX5_SLIM.jpeg
8,Tapas,Solid Fold 2.0,Plegable dura,Estados Unidos,Polipropileno,Tapa plegable dura Heavy Duty. Fabricado en Estados Unidos. Polipropileno.,SOLID_FOLD_2.0.jpg
9,Tapas,Lona Marítima Flex,Enrollable manual,Brasil,PVC reforzado,Tapa enrollable Manual. Fabricado en Brasil. PVC reforzado con trama en poliester.,LONA_MARITIMA_FLEX.jpg
10,Tapas,Trifold,Plegable dura,China,Aluminio reforzado,Tapa plegable dura. Fabricado en China. Aluminio reforzado.,TRIFOLD.jpg
11,Pisaderas,Keko K1,Antideslizante,Brasil,Aluminio,Pisadera antideslizante. Fabricado en Brasil. Aluminio.,KEKO_K12.jpg
12,Pisaderas,Keko My Trip,Diseño exclusivo,Brasil,Aluminio,Diseño exclusivo. Fabricado en Brasil. Aluminio.,KEKO_MY_TRIP1.jpg
13,Pisaderas,K2 My Way,Encaje perfecto,Brasil,Aluminio,Diseño con encaje perfecto. Fabricado en Brasil. Aluminio.,K2_MY_WAY.jpg
14,Pisaderas,Keko My Road,Más área de apoyo,Brasil,Aluminio,Más área de apoyo. Fabricado en Brasil. Aluminio.,KEKO_MY_ROAD.jpg
15,Pisaderas,Integral K1,Más liviano,Brasil,Aluminio,Más liviano. Fabricado en Brasil. Aluminio.,INTEGRAL_K1.jpg
16,Pisaderas,Shark Heavy Duty,Modelo texturado,China,Acero,Modelo texturado. Fabricado en China. Acero.,SHARK_HEAVY_DUTY.jpg
17,Pisaderas,Heavy Duty TRD,Diseño reforzado,China,Acero,Diseño reforzado. Fabricado en China. Acero.,HEAVY_DUTY_TRD.jpg
18,Pisaderas,Aluminio,+ De 10 modelos,China,Aluminio,+ De 10 modelos. Fabricado en China. Aluminio.,ALUMINIO.jpg
19,Pisaderas,Infinity,3 modelos,China,Aluminio/Acero,3 Modelos. Fabricado en China. Aluminio.,INFINITY.jpg
20,Pisaderas,Tubulares,Más estética,China,Acero,Más estética. Fabricado en China. Acero.,TABULARES.jpg
21,Barras,Keko K1,Diseño único,Brasil,Aluminio,Diseño único para cada vehículo. Fabricado en Brasil. Aluminio.,KEKO_K1.jpg
22,Barras,Keko K3,Diseño elegante,Brasil,Aluminio,Diseño más elegante. Fabricado en Brasil. Aluminio.,KEKO_K3.jpg
23,Barras,Especiales,Tubos acero 2'',Brasil,Aluminio,Fabricadas con tubos de acero de 2''. Fabricado en Brasil. Aluminio.,ESPECIALES.jpg
24,Barras,Básica,Sin tapas laterales,China,Acero inoxidable,Sin tapas laterales interior. Fabricado en China. Acero inoxidable.,BASICA.jpg
25,Barras,Premium,Con tapas laterales,China,Acero inoxidable,Con tapas laterales interior. Fabricado en China. Acero inoxidable.,PREMIUM.jpg
26,Barras,Negras,+ 5 modelos,China,Acero al carbono,+ 5 Modelos diferentes. Fabricado en China. Acero al carbono.,NEGRAS.jpg
